Source,Target,Weight,Type
jp_daily_newsletter_mary_ann_parsons_1_1850,jp_morning_chronicle_dr_ellis_1846,6,undirected
jp_daily_newsletter_mary_ann_parsons_1_1850,jp_morning_chronicle_mary_ann_parsons_2_1850,15,undirected
jp_daily_newsletter_mary_ann_parsons_1_1850,jp_morning_chronicle_sarah_brown_1846,3,undirected
jp_daily_newsletter_mary_ann_parsons_1_1850,jp_morning_chronicle_susan_moir_1850,30,undirected
jp_daily_newsletter_mary_ann_parsons_1_1850,jp_morning_chronicle_wife_murder_1851,7,undirected
jp_daily_newsletter_mary_ann_parsons_1_1850,vl_morning_chronicle_captain_johnstone_1846,2,undirected
jp_morning_chronicle_anne_bird_1850,jp_morning_chronicle_mary_ann_parsons_2_1850,7,undirected
jp_morning_chronicle_anne_bird_1850,jp_morning_chronicle_wife_murder_1851,6,undirected
jp_morning_chronicle_anne_bird_1850,vl_daily_newsletter_corporal_punishment_1849,15,undirected
jp_morning_chronicle_anne_bird_1850,vl_morning_chronicle_law_of_assault_1850,22,undirected
jp_morning_chronicle_anne_bird_1850,vl_remarks_on_mr_fitzroys_bill_1853,21,undirected
jp_morning_chronicle_dr_ellis_1846,jp_daily_newsletter_mary_ann_parsons_1_1850,6,undirected
jp_morning_chronicle_dr_ellis_1846,jp_morning_chronicle_mary_ann_parsons_2_1850,5,undirected
jp_morning_chronicle_dr_ellis_1846,jp_morning_chronicle_sarah_brown_1846,10,undirected
jp_morning_chronicle_dr_ellis_1846,jp_morning_chronicle_susan_moir_1850,22,undirected
jp_morning_chronicle_dr_ellis_1846,jp_sunday_times_questionable_charity_1850,4,undirected
jp_morning_chronicle_dr_ellis_1846,vl_morning_chronicle_matthewson_1846,4,undirected
jp_morning_chronicle_dr_ellis_1846,vl_morning_chronicle_north_family_1846,4,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,jp_daily_newsletter_mary_ann_parsons_1_1850,15,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,jp_morning_chronicle_anne_bird_1850,7,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,jp_morning_chronicle_dr_ellis_1846,5,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,jp_morning_chronicle_wife_murder_1851,3,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,vl_morning_chronicle_law_of_assault_1850,5,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,vl_morning_chronicle_north_family_1846,6,undirected
jp_morning_chronicle_mary_ann_parsons_2_1850,vl_remarks_on_mr_fitzroys_bill_1853,3,undirected
jp_morning_chronicle_sarah_brown_1846,jp_daily_newsletter_mary_ann_parsons_1_1850,3,undirected
jp_morning_chronicle_sarah_brown_1846,jp_morning_chronicle_dr_ellis_1846,10,undirected
jp_morning_chronicle_sarah_brown_1846,jp_sunday_times_questionable_charity_1850,8,undirected
jp_morning_chronicle_sarah_brown_1846,vl_morning_chronicle_law_of_assault_1850,8,undirected
jp_morning_chronicle_sarah_brown_1846,vl_morning_chronicle_north_family_1846,28,undirected
jp_morning_chronicle_sarah_brown_1846,vl_sunday_times_punishment_of_children_1850,2,undirected
jp_morning_chronicle_susan_moir_1850,jp_daily_newsletter_mary_ann_parsons_1_1850,30,undirected
jp_morning_chronicle_susan_moir_1850,jp_morning_chronicle_dr_ellis_1846,22,undirected
jp_morning_chronicle_susan_moir_1850,jp_morning_chronicle_wife_murder_1851,21,undirected
jp_morning_chronicle_susan_moir_1850,vl_morning_chronicle_captain_johnstone_1846,2,undirected
jp_morning_chronicle_susan_moir_1850,vl_sunday_times_punishment_of_children_1850,13,undirected
jp_morning_chronicle_wife_murder_1851,jp_daily_newsletter_mary_ann_parsons_1_1850,7,undirected
jp_morning_chronicle_wife_murder_1851,jp_morning_chronicle_anne_bird_1850,6,undirected
jp_morning_chronicle_wife_murder_1851,jp_morning_chronicle_mary_ann_parsons_2_1850,3,undirected
jp_morning_chronicle_wife_murder_1851,jp_morning_chronicle_susan_moir_1850,21,undirected
jp_morning_chronicle_wife_murder_1851,vl_remarks_on_mr_fitzroys_bill_1853,6,undirected
jp_sunday_times_questionable_charity_1850,jp_morning_chronicle_dr_ellis_1846,4,undirected
jp_sunday_times_questionable_charity_1850,jp_morning_chronicle_sarah_brown_1846,8,undirected
jp_sunday_times_questionable_charity_1850,vl_morning_chronicle_law_of_assault_1850,6,undirected
jp_sunday_times_questionable_charity_1850,vl_morning_chronicle_matthewson_1846,2,undirected
