"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"the" 8.32497492477432 7.38860688099267 6.2390158172232 9.12621359223301 8.54383358098068 7.72357723577236 9.33014354066986 5.68181818181818 6.62598081952921 7.36842105263158 6.6627358490566 7.18025430067315 9.36739659367397 8.28025477707006 8.13316477033291 6.74285714285714
"of" 4.41323971915747 6.48618161308517 4.56942003514938 5.50161812297735 4.9777117384844 3.5230352303523 5.50239234449761 3.91414141414141 6.19006102877071 5.84795321637427 4.12735849056604 4.71204188481675 3.5279805352798 4.06050955414013 6.78466076696165 4.34285714285714
"to" 3.00902708124373 2.42526790750141 2.98769771528998 3.75404530744337 3.64041604754829 2.710027100271 3.6682615629984 4.92424242424242 2.9642545771578 2.80701754385965 3.5377358490566 3.36574420344054 4.01459854014599 3.10509554140127 3.20269700800674 2.97142857142857
"a" 1.70511534603811 2.19966159052453 2.98769771528998 1.10032362459547 2.74888558692422 2.4390243902439 1.99362041467305 0.883838383838384 2.615518744551 3.74269005847953 2.00471698113208 3.06656694091249 1.88564476885645 2.54777070063694 2.1913190054783 2.05714285714286
"and" 2.80842527582748 2.36886632825719 1.75746924428822 1.61812297734628 2.5260029717682 2.57452574525745 2.07336523125997 1.64141414141414 2.7898866608544 1.52046783625731 2.12264150943396 1.49588631264024 2.00729927007299 2.94585987261146 1.89633375474083 3.2
"in" 2.10631895687061 2.59447264523407 2.46045694200351 1.74757281553398 2.15453194650817 2.03252032520325 2.95055821371611 2.14646464646465 1.9180470793374 1.16959064327485 1.47405660377358 1.34629768137622 1.52068126520681 1.67197452229299 1.85419300463548 1.82857142857143
"is" 0.401203610832498 1.35363790186125 1.14235500878735 1.68284789644013 1.1887072808321 0.813008130081301 1.99362041467305 3.03030303030303 2.2667829119442 1.40350877192982 1.88679245283019 1.19670905011219 2.4330900243309 1.03503184713376 2.1913190054783 1.71428571428571
"that" 1.80541624874624 0.846023688663283 2.10896309314587 2.00647249190939 1.70876671619614 2.03252032520325 1.67464114832536 1.64141414141414 0.959023539668701 1.05263157894737 1.82783018867925 2.01944652206432 1.70316301703163 2.07006369426752 1.34850400337126 1.94285714285714
"it" 1.00300902708124 1.1844331641286 1.49384885764499 1.94174757281553 1.56017830609212 1.0840108401084 1.35566188197767 1.51515151515152 1.0462074978204 1.05263157894737 1.70990566037736 1.34629768137622 1.338199513382 1.59235668789809 2.02275600505689 1.48571428571429
"be" 0.401203610832498 0.902425267907501 1.23022847100176 1.22977346278317 0.965824665676077 1.0840108401084 0.797448165869219 1.64141414141414 1.743679163034 1.40350877192982 2.00471698113208 1.49588631264024 1.09489051094891 0.796178343949045 1.55920775389802 1.37142857142857
"not" 0.601805416248746 1.01522842639594 1.66959578207381 1.16504854368932 1.1887072808321 1.21951219512195 0.717703349282297 0.757575757575758 0.871839581517001 1.28654970760234 1.00235849056604 1.42109199700823 1.03406326034063 0.875796178343949 0.800674252001686 1.37142857142857
"which" 0.702106318956871 1.35363790186125 0.966608084358524 1.22977346278317 1.04011887072808 0.5420054200542 1.03668261562998 1.01010101010101 0.610287707061901 1.05263157894737 1.17924528301887 0.897531787584144 0.72992700729927 0.796178343949045 1.09565950273915 0.571428571428571
"for" 0.501504513540622 0.451212633953751 0.70298769771529 0.776699029126214 0.817236255572065 0.813008130081301 1.59489633173844 0.631313131313131 1.2205754141238 0.818713450292398 1.06132075471698 0.74794315632012 0.72992700729927 1.51273885350318 1.43278550358196 0.685714285714286
"as" 0.802407221664995 0.902425267907501 0.70298769771529 0.58252427184466 0.817236255572065 0.677506775067751 0.956937799043062 1.13636363636364 1.0462074978204 1.40350877192982 0.766509433962264 1.19670905011219 0.72992700729927 0.477707006369427 0.969237252423093 1.14285714285714
"by" 0.802407221664995 0.620417371686407 0.615114235500879 1.16504854368932 1.11441307578009 0.5420054200542 0.398724082934609 0.883838383838384 0.784655623365301 1.05263157894737 0.884433962264151 0.822737471952132 0.72992700729927 0.477707006369427 0.927096502317741 0.914285714285714
"have" 1.10330992978937 0.733220530174845 0.70298769771529 0.776699029126214 0.445765230312036 1.21951219512195 0.956937799043062 1.01010101010101 0.610287707061901 1.05263157894737 0.412735849056604 1.19670905011219 1.21654501216545 1.51273885350318 0.294985250737463 0.342857142857143
"on" 0.401203610832498 0.676818950930626 0.790861159929701 0.906148867313916 0.297176820208024 1.21951219512195 0.558213716108453 1.01010101010101 0.3487358326068 0.350877192982456 0.825471698113208 0.598354525056096 1.338199513382 0.477707006369427 0.632111251580278 0.914285714285714
"or" 0.601805416248746 1.07163000564016 0.790861159929701 0.323624595469256 0.74294205052006 0.40650406504065 0.797448165869219 1.01010101010101 0.4359197907585 0.467836257309941 1.23820754716981 0.299177262528048 0.547445255474453 0.398089171974522 0.842815002107038 0.342857142857143
"but" 0.501504513540622 0.676818950930626 1.31810193321617 0.517799352750809 0.74294205052006 0.2710027100271 0.558213716108453 0.631313131313131 0.959023539668701 0.584795321637427 0.235849056603774 0.523560209424084 0.851581508515815 0.477707006369427 0.67425200168563 0.685714285714286
"he" 0.802407221664995 0.169204737732657 0.878734622144112 0.323624595469256 0.817236255572065 0.677506775067751 0.87719298245614 0.126262626262626 0.697471665213601 0.584795321637427 0.17688679245283 0.972326103216156 0.97323600973236 1.43312101910828 0.294985250737463 0.914285714285714
"are" 0.100300902708124 0.95882684715172 0.175746924428823 0.258899676375405 0.0742942050520059 0.5420054200542 0.717703349282297 0.378787878787879 0.871839581517001 0.701754385964912 1.12028301886792 0.897531787584144 0.425790754257908 0.71656050955414 0.758533501896334 0.228571428571429
"was" 1.80541624874624 0.225606316976875 1.23022847100176 1.29449838187702 0.520059435364042 0.948509485094851 0.956937799043062 0 0.4359197907585 0.467836257309941 0.294811320754717 1.04712041884817 0.0608272506082725 0.71656050955414 0.126422250316056 0.114285714285714
